code,system
0202020D0BBAAAE,bnf
0202020L0AACYCY,bnf
0202020L0AACKCK,bnf
0202020L0AACCCC,bnf
0202020L0AACHCH,bnf
0202020L0AACECE,bnf
0202020L0AACJCJ,bnf
0202020L0AABZBZ,bnf
0202020L0AACBCB,bnf
0202020L0AADFDF,bnf
0202020L0AACNCN,bnf
0202020L0AACTCT,bnf
0202020L0AADDDD,bnf
0202020L0AACDCD,bnf
0202020L0AACLCL,bnf
0202020L0AADADA,bnf
0202020L0AACFCF,bnf
0202020L0AACXCX,bnf
0202020L0AADEDE,bnf
0202020L0AACICI,bnf
0202020L0AABYBY,bnf
0202020L0AACSCS,bnf
0205052AEBBAAAA,bnf
0205052AEBBACAC,bnf
0202020L0AABQBQ,bnf
0202020L0AABNBN,bnf
0204000ABBCAAAA,bnf
0202020D0AAAFAF,bnf
020400080AAAPAP,bnf
0202020D0AAAGAG,bnf
0204000ABAAABAB,bnf
020400080AAAFAF,bnf
0204000ABBBAAAA,bnf
0202020L0AACPCP,bnf
0202020L0BGAAAT,bnf
020400080BBADAF,bnf
0202020D0BBABAF,bnf
0202020L0AAATAT,bnf
0204000ABAAAAAA,bnf
0202020L0AACACA,bnf
020400080BBABAC,bnf
0202020L0BZAABQ,bnf
0202020L0BZABBN,bnf
0202020L0BZACBP,bnf
0205052AEBBABAB,bnf
0202020L0AACMCM,bnf
0205052AEAAABAB,bnf
0202020L0BGAHBD,bnf
0202020L0BGAGBB,bnf
0202020L0BCADBI,bnf
0202020L0AABXBX,bnf
0202020L0BGAIBI,bnf
0202020L0AACRCR,bnf
0202020L0AABIBI,bnf
0202020L0AABPBP,bnf
0202020L0AABDBD,bnf
0202020L0AABBBB,bnf
0202020D0AAAEAE,bnf
0202020D0AAADAD,bnf
0202080C0BBAAAA,bnf
0202080K0BBAAAA,bnf
0202020L0BPAABD,bnf
0202020L0BWAABD,bnf
0202080K0BCAAAB,bnf
020400080AAADAD,bnf
0204000ABAAADAD,bnf
0202020L0AACGCG,bnf
020400080AAAEAE,bnf
020400080BBAAAB,bnf
020400080BBACAE,bnf
020400090AAAAAA,bnf
0202080K0AAABAB,bnf
0202080C0AAAAAA,bnf
0202080K0AAAAAA,bnf
0202020U0AAABAB,bnf
0202020U0AAACAC,bnf
0202020U0AAAAAA,bnf
0205052AEAAAAAA,bnf
0205052AEAAACAC,bnf
0204000ABAAACAC,bnf
0202020U0BBACAC,bnf
0202020U0BBAAAA,bnf
0202020U0BBABAB,bnf
020400080AAAMAM,bnf
020400080AAANAN,bnf
